,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
0,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-18,AG,,3620,,,,,3620,3620,0,0,0,0,0,0.0,0,0
1,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-19,AG,,3620,3620.0,,,,3632,3632,0,0,0,12,12,0.00331492,0,0
2,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-20,AG,,3632,3632.0,3892.0,3892.0,3833.0,3833,3863,8,463620,8,201,231,0.05534141,0,0
3,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-21,AG,,3863,3833.0,4008.0,4008.0,3976.0,3976,3992,4,239520,12,113,129,0.02925188,0,0
4,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-22,AG,,3992,3976.0,3843.0,3848.0,3843.0,3848,3845,4,230730,14,-144,-147,-0.03607214,0,0
5,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-25,AG,,3845,3848.0,3811.0,3837.0,3811.0,3825,3824,12,688440,18,-20,-21,-0.00520156,0,0
6,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-26,AG,,3824,3825.0,3846.0,3846.0,3838.0,3838,3842,4,230520,18,14,18,0.00366109,0,0
7,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-27,AG,,3842,3838.0,3848.0,3848.0,3848.0,3848,3848,6,346320,14,6,6,0.00156169,0,0
8,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-28,AG,,3848,3848.0,3881.0,3899.0,3872.0,3888,3883,12,699060,22,40,35,0.01039501,0,0
9,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-04-29,AG,,3883,3888.0,3999.0,3999.0,3999.0,3999,3999,2,119970,22,116,116,0.02987381,0,0
10,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-03,AG,,3999,3999.0,3978.0,3978.0,3978.0,3978,3978,2,119340,22,-21,-21,-0.00525131,0,0
11,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-04,AG,,3978,3978.0,3909.0,3909.0,3909.0,3909,3909,2,117270,24,-69,-69,-0.0173454,0,0
12,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-05,AG,,3909,3909.0,,,,3909,3909,0,0,24,0,0,0.0,0,0
13,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-06,AG,,3909,3909.0,3906.0,3906.0,3906.0,3906,3906,2,117180,24,-3,-3,-0.00076746,0,0
14,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-09,AG,,3906,3906.0,3915.0,3915.0,3908.0,3908,3911,4,234690,26,2,5,0.00051203,0,0
15,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-10,AG,,3911,3908.0,3845.0,3850.0,3777.0,3832,3823,32,1835400,44,-79,-88,-0.02019944,0,0
16,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-11,AG,,3823,3832.0,3859.0,3903.0,3859.0,3899,3879,12,698310,42,76,56,0.01987968,0,0
17,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-12,AG,,3879,3899.0,,,,3879,3879,0,0,42,0,0,0.0,0,0
18,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-13,AG,,3879,3879.0,3832.0,3856.0,3832.0,3856,3844,6,345990,40,-23,-35,-0.00592936,0,0
19,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-16,AG,,3844,3856.0,3889.0,3889.0,3889.0,3889,3889,2,116670,40,45,45,0.01170656,0,0
20,AG1704.XSGE,ag1704,XSGE,»¦°×Òø1704,2016-05-17,AG,,3889,3889.0,3917.0,3917.0,3917.0,3917,3917,2,117510,40,28,28,0.00719979,0,0
