,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
0,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-18,BU,,1902,,,,,1902,1902,0,0,0,0,0,0.0,0,0
1,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-19,BU,,1902,1902.0,,,,1902,1902,0,0,0,0,0,0.0,0,0
2,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-20,BU,,1902,1902.0,,,,1944,1944,0,0,0,42,42,0.02208202,0,0
3,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-21,BU,,1944,1944.0,,,,1944,1944,0,0,0,0,0,0.0,0,0
4,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-24,BU,,1944,1944.0,,,,1976,1976,0,0,0,32,32,0.01646091,0,0
5,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-25,BU,,1976,1976.0,,,,1976,1976,0,0,0,0,0,0.0,0,0
6,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-26,BU,,1976,1976.0,,,,1976,1976,0,0,0,0,0,0.0,0,0
7,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-27,BU,,1976,1976.0,1994.0,1994.0,1930.0,1930,1962,4,78480,2,-46,-14,-0.02327935,0,0
8,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-28,BU,,1962,1930.0,2002.0,2002.0,2002.0,2002,2002,2,40040,2,40,40,0.02038736,0,0
9,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-10-31,BU,,2002,2002.0,,,,2002,2002,0,0,2,0,0,0.0,0,0
10,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-11-01,BU,,2002,2002.0,,,,2002,2002,0,0,2,0,0,0.0,0,0
11,BU1704.XSGE,bu1704,XSGE,沪石油沥青1704,2016-11-02,BU,,2002,2002.0,,,,2002,2002,0,0,2,0,0,0.0,0,0
