,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-17,09:00:00,0,SR709,XZCE,6750,6720,6760,136588,9175880000,617672,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32400000,6749,42,0,0,0,0,0,0,0,0,6750,57,0,0,0,0,0,0,0,0
1,2017-04-17,09:00:00,0,SR709,XZCE,6741,6720,6760,137402,9230751740,617346,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32400000,6738,6,0,0,0,0,0,0,0,0,6740,23,0,0,0,0,0,0,0,0
2,2017-04-17,09:00:01,0,SR709,XZCE,6740,6720,6760,137770,9255554940,617098,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32401000,6739,16,0,0,0,0,0,0,0,0,6740,2,0,0,0,0,0,0,0,0
3,2017-04-17,09:00:01,0,SR709,XZCE,6741,6720,6760,137996,9270789600,616968,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32401000,6738,12,0,0,0,0,0,0,0,0,6741,33,0,0,0,0,0,0,0,0
4,2017-04-17,09:00:02,0,SR709,XZCE,6741,6720,6760,138100,9277800240,616960,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32402000,6738,4,0,0,0,0,0,0,0,0,6740,5,0,0,0,0,0,0,0,0
5,2017-04-17,09:00:02,0,SR709,XZCE,6741,6720,6760,138182,9283327860,616950,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32402000,6739,9,0,0,0,0,0,0,0,0,6741,2,0,0,0,0,0,0,0,0
6,2017-04-17,09:00:03,0,SR709,XZCE,6741,6720,6760,138612,9312314160,617104,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32403000,6741,56,0,0,0,0,0,0,0,0,6742,62,0,0,0,0,0,0,0,0
7,2017-04-17,09:00:03,0,SR709,XZCE,6742,6720,6760,138796,9324719440,617238,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32403000,6741,111,0,0,0,0,0,0,0,0,6742,77,0,0,0,0,0,0,0,0
8,2017-04-17,09:00:04,0,SR709,XZCE,6742,6720,6760,138814,9325933000,617232,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32404000,6741,130,0,0,0,0,0,0,0,0,6742,68,0,0,0,0,0,0,0,0
9,2017-04-17,09:00:04,0,SR709,XZCE,6741,6720,6760,138826,9326741920,617238,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32404000,6741,130,0,0,0,0,0,0,0,0,6742,69,0,0,0,0,0,0,0,0
10,2017-04-17,09:00:05,0,SR709,XZCE,6741,6720,6760,138862,9329168680,617238,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32405000,6741,128,0,0,0,0,0,0,0,0,6742,54,0,0,0,0,0,0,0,0
11,2017-04-17,09:00:05,0,SR709,XZCE,6742,6720,6760,138872,9329842880,617234,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32405000,6741,128,0,0,0,0,0,0,0,0,6742,50,0,0,0,0,0,0,0,0
12,2017-04-17,09:00:06,0,SR709,XZCE,6742,6720,6760,138972,9336584880,617246,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32406000,6741,128,0,0,0,0,0,0,0,0,6742,4,0,0,0,0,0,0,0,0
13,2017-04-17,09:00:06,0,SR709,XZCE,6742,6720,6760,139016,9339551360,617236,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32406000,6741,118,0,0,0,0,0,0,0,0,6743,114,0,0,0,0,0,0,0,0
14,2017-04-17,09:00:07,0,SR709,XZCE,6743,6720,6760,139028,9340360520,617236,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32407000,6741,113,0,0,0,0,0,0,0,0,6743,109,0,0,0,0,0,0,0,0
15,2017-04-17,09:00:07,0,SR709,XZCE,6741,6720,6760,139090,9344539940,617234,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32407000,6741,108,0,0,0,0,0,0,0,0,6742,1,0,0,0,0,0,0,0,0
16,2017-04-17,09:00:08,0,SR709,XZCE,6742,6720,6760,139152,9348719980,617276,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32408000,6742,1,0,0,0,0,0,0,0,0,6743,99,0,0,0,0,0,0,0,0
17,2017-04-17,09:00:08,0,SR709,XZCE,6742,6720,6760,139194,9351551620,617264,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32408000,6742,9,0,0,0,0,0,0,0,0,6743,80,0,0,0,0,0,0,0,0
18,2017-04-17,09:00:09,0,SR709,XZCE,6742,6720,6760,139348,9361934300,617294,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32409000,6742,11,0,0,0,0,0,0,0,0,6743,28,0,0,0,0,0,0,0,0
19,2017-04-17,09:00:09,0,SR709,XZCE,6741,6720,6760,139622,9380404640,617474,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32409000,6741,51,0,0,0,0,0,0,0,0,6743,4,0,0,0,0,0,0,0,0
20,2017-04-17,09:00:10,0,SR709,XZCE,6741,6720,6760,139796,9392133980,617478,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32410000,6740,154,0,0,0,0,0,0,0,0,6741,34,0,0,0,0,0,0,0,0
21,2017-04-17,09:00:10,0,SR709,XZCE,6741,6720,6760,139952,9402649940,617362,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32410000,6741,9,0,0,0,0,0,0,0,0,6742,15,0,0,0,0,0,0,0,0
22,2017-04-17,09:00:11,0,SR709,XZCE,6742,6720,6760,140016,9406964820,617396,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32411000,6741,25,0,0,0,0,0,0,0,0,6743,45,0,0,0,0,0,0,0,0
23,2017-04-17,09:00:11,0,SR709,XZCE,6743,6720,6760,140044,9408852860,617408,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32411000,6742,1,0,0,0,0,0,0,0,0,6743,34,0,0,0,0,0,0,0,0
24,2017-04-17,09:00:12,0,SR709,XZCE,6744,6720,6760,140140,9415327100,617454,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32412000,6742,9,0,0,0,0,0,0,0,0,6744,100,0,0,0,0,0,0,0,0
25,2017-04-17,09:00:12,0,SR709,XZCE,6741,6720,6760,140242,9422202920,617500,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32412000,6740,167,0,0,0,0,0,0,0,0,6741,62,0,0,0,0,0,0,0,0
26,2017-04-17,09:00:13,0,SR709,XZCE,6741,6720,6760,140264,9423685940,617512,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32413000,6740,167,0,0,0,0,0,0,0,0,6741,51,0,0,0,0,0,0,0,0
27,2017-04-17,09:00:13,0,SR709,XZCE,6741,6720,6760,140368,9430696580,617584,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32413000,6741,44,0,0,0,0,0,0,0,0,6742,14,0,0,0,0,0,0,0,0
28,2017-04-17,09:00:14,0,SR709,XZCE,6742,6720,6760,140388,9432044980,617586,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32414000,6742,4,0,0,0,0,0,0,0,0,6743,20,0,0,0,0,0,0,0,0
29,2017-04-17,09:00:14,0,SR709,XZCE,6742,6720,6760,140432,9435011460,617610,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32414000,6741,41,0,0,0,0,0,0,0,0,6743,16,0,0,0,0,0,0,0,0
30,2017-04-17,09:00:15,0,SR709,XZCE,6742,6720,6760,140448,9436090180,617610,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32415000,6742,1,0,0,0,0,0,0,0,0,6743,15,0,0,0,0,0,0,0,0
31,2017-04-17,09:00:15,0,SR709,XZCE,6742,6720,6760,140462,9437034060,617608,614746,7009,6469,6739,6724,0,6729,0,0,0,2017-04-17,32415000,6742,13,0,0,0,0,0,0,0,0,6743,18,0,0,0,0,0,0,0,0
