,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-17,09:00:00,971,jm1709,XDCE,1133.0,1110.0,1139.0,97936,6611447340,193572,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32400971,1120.0,59,0,0,0,0,0,0,0,0,1121.0,60,0,0,0,0,0,0,0,0
1,2017-04-17,09:00:01,464,jm1709,XDCE,1121.0,1110.0,1139.0,98070,6620453820,193636,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32401464,1120.5,27,0,0,0,0,0,0,0,0,1121.0,56,0,0,0,0,0,0,0,0
2,2017-04-17,09:00:01,941,jm1709,XDCE,1120.0,1110.0,1139.0,98200,6629193360,193700,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32401941,1119.5,2,0,0,0,0,0,0,0,0,1120.0,164,0,0,0,0,0,0,0,0
3,2017-04-17,09:00:02,471,jm1709,XDCE,1118.5,1110.0,1139.0,98676,6661180620,194090,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32402471,1118.5,4,0,0,0,0,0,0,0,0,1119.5,1,0,0,0,0,0,0,0,0
4,2017-04-17,09:00:02,954,jm1709,XDCE,1117.5,1110.0,1139.0,98930,6678222780,194014,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32402954,1117.5,3,0,0,0,0,0,0,0,0,1119.5,6,0,0,0,0,0,0,0,0
5,2017-04-17,09:00:03,467,jm1709,XDCE,1119.0,1110.0,1139.0,99038,6685470900,193984,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32403467,1117.0,9,0,0,0,0,0,0,0,0,1119.0,1,0,0,0,0,0,0,0,0
6,2017-04-17,09:00:03,926,jm1709,XDCE,1116.0,1110.0,1139.0,99104,6689896080,193978,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32403926,1116.0,40,0,0,0,0,0,0,0,0,1118.0,4,0,0,0,0,0,0,0,0
7,2017-04-17,09:00:04,460,jm1709,XDCE,1117.0,1110.0,1139.0,99318,6704248860,193862,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32404460,1116.0,63,0,0,0,0,0,0,0,0,1117.0,1,0,0,0,0,0,0,0,0
8,2017-04-17,09:00:04,930,jm1709,XDCE,1117.5,1110.0,1139.0,99334,6705321120,193860,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32404930,1116.5,2,0,0,0,0,0,0,0,0,1118.0,4,0,0,0,0,0,0,0,0
9,2017-04-17,09:00:05,426,jm1709,XDCE,1116.0,1110.0,1139.0,99472,6714562860,193840,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32405426,1116.0,8,0,0,0,0,0,0,0,0,1117.0,3,0,0,0,0,0,0,0,0
10,2017-04-17,09:00:05,924,jm1709,XDCE,1116.5,1110.0,1139.0,99626,6724891680,193842,210082,1227.5,1025.5,1126.5,1108,0,1112,0.0,0,0,2017-04-17,32405924,1115.5,11,0,0,0,0,0,0,0,0,1116.5,1,0,0,0,0,0,0,0,0
