,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-20,00:00:00,0,IH1704,CCFX,2321.8,0.0,0.0,0,0,7687,7687,0.0,0.0,2322.4,2321.8,0.0,0.0,0.0,0,0,2017-04-20,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
1,2017-04-20,07:14:14,500,IH1704,CCFX,2321.8,0.0,0.0,0,0,7687,7687,2554.6,2090.2,2322.4,2321.8,0.0,0.0,0.0,0,0,2017-04-20,26054500,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
2,2017-04-20,09:29:00,500,IH1704,CCFX,2323.4,2323.4,2323.4,17,11849340,7670,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34140500,2321.0,1,0,0,0,0,0,0,0,0,2324.0,5,0,0,0,0,0,0,0,0
3,2017-04-20,09:30:00,500,IH1704,CCFX,2323.4,2323.4,2323.4,17,11849340,7670,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34200500,2321.2,2,0,0,0,0,0,0,0,0,2323.0,9,0,0,0,0,0,0,0,0
4,2017-04-20,09:30:01,0,IH1704,CCFX,2321.4,2321.2,2323.4,22,15332580,7666,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34201000,2321.4,1,0,0,0,0,0,0,0,0,2322.8,1,0,0,0,0,0,0,0,0
5,2017-04-20,09:30:01,500,IH1704,CCFX,2321.4,2321.2,2323.4,23,16029000,7665,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34201500,2321.6,1,0,0,0,0,0,0,0,0,2322.6,1,0,0,0,0,0,0,0,0
6,2017-04-20,09:30:02,0,IH1704,CCFX,2322.6,2321.2,2323.4,24,16725780,7664,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34202000,2321.8,1,0,0,0,0,0,0,0,0,2322.4,1,0,0,0,0,0,0,0,0
7,2017-04-20,09:30:02,500,IH1704,CCFX,2322.4,2321.2,2323.4,25,17422500,7664,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34202500,2322.0,1,0,0,0,0,0,0,0,0,2322.6,3,0,0,0,0,0,0,0,0
8,2017-04-20,09:30:03,0,IH1704,CCFX,2322.4,2321.2,2323.4,25,17422500,7664,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34203000,2322.0,1,0,0,0,0,0,0,0,0,2322.6,3,0,0,0,0,0,0,0,0
9,2017-04-20,09:30:03,500,IH1704,CCFX,2322.0,2321.2,2323.4,26,18119100,7663,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34203500,2321.6,7,0,0,0,0,0,0,0,0,2322.4,1,0,0,0,0,0,0,0,0
10,2017-04-20,09:30:04,0,IH1704,CCFX,2322.4,2321.2,2323.4,28,19512300,7661,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34204000,2322.0,1,0,0,0,0,0,0,0,0,2322.6,3,0,0,0,0,0,0,0,0
11,2017-04-20,09:30:04,500,IH1704,CCFX,2322.6,2321.2,2323.4,29,20209080,7660,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34204500,2322.0,1,0,0,0,0,0,0,0,0,2322.6,2,0,0,0,0,0,0,0,0
12,2017-04-20,09:30:05,0,IH1704,CCFX,2321.6,2321.2,2323.4,31,21602160,7658,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34205000,2321.6,5,0,0,0,0,0,0,0,0,2322.6,2,0,0,0,0,0,0,0,0
13,2017-04-20,09:30:05,500,IH1704,CCFX,2321.6,2321.2,2323.4,31,21602160,7658,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34205500,2321.8,1,0,0,0,0,0,0,0,0,2322.6,2,0,0,0,0,0,0,0,0
14,2017-04-20,09:30:06,0,IH1704,CCFX,2322.6,2321.2,2323.4,34,23691960,7655,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34206000,2322.2,1,0,0,0,0,0,0,0,0,2322.4,1,0,0,0,0,0,0,0,0
15,2017-04-20,09:30:06,500,IH1704,CCFX,2322.2,2321.2,2323.4,35,24388620,7654,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34206500,2321.6,4,0,0,0,0,0,0,0,0,2322.2,2,0,0,0,0,0,0,0,0
16,2017-04-20,09:30:07,0,IH1704,CCFX,2321.6,2321.2,2323.4,36,25085100,7653,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34207000,2321.6,3,0,0,0,0,0,0,0,0,2321.8,8,0,0,0,0,0,0,0,0
17,2017-04-20,09:30:07,500,IH1704,CCFX,2321.8,2321.2,2323.4,38,26478120,7651,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34207500,2321.6,2,0,0,0,0,0,0,0,0,2321.8,7,0,0,0,0,0,0,0,0
18,2017-04-20,09:30:08,0,IH1704,CCFX,2321.8,2321.2,2323.4,39,27174660,7650,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34208000,2321.6,2,0,0,0,0,0,0,0,0,2321.8,6,0,0,0,0,0,0,0,0
19,2017-04-20,09:30:09,0,IH1704,CCFX,2321.8,2321.2,2323.4,39,27174660,7650,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34209000,2321.6,2,0,0,0,0,0,0,0,0,2321.8,6,0,0,0,0,0,0,0,0
20,2017-04-20,09:30:09,500,IH1704,CCFX,2321.8,2321.2,2323.4,45,31353840,7644,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34209500,2321.6,1,0,0,0,0,0,0,0,0,2321.8,1,0,0,0,0,0,0,0,0
21,2017-04-20,09:30:10,0,IH1704,CCFX,2321.8,2321.2,2323.4,46,32050380,7643,7687,2554.6,2090.2,2322.4,2321.8,0.0,2323.4,0.0,0,0,2017-04-20,34210000,2321.6,1,0,0,0,0,0,0,0,0,2322.4,1,0,0,0,0,0,0,0,0
