,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-20,08:59:00,94,v1709,XDCE,5505,5505,5505,160,4404000,170038,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32340094,5505,3,0,0,0,0,0,0,0,0,5510,1,0,0,0,0,0,0,0,0
1,2017-04-20,09:00:00,146,v1709,XDCE,5500,5500,5505,188,5174350,170058,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32400146,5500,75,0,0,0,0,0,0,0,0,5505,28,0,0,0,0,0,0,0,0
2,2017-04-20,09:00:00,646,v1709,XDCE,5515,5500,5515,388,10681350,170122,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32400646,5515,4,0,0,0,0,0,0,0,0,5520,57,0,0,0,0,0,0,0,0
3,2017-04-20,09:00:01,141,v1709,XDCE,5515,5500,5520,534,14705550,170142,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32401141,5510,2,0,0,0,0,0,0,0,0,5515,16,0,0,0,0,0,0,0,0
4,2017-04-20,09:00:01,640,v1709,XDCE,5510,5500,5520,552,15201450,170138,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32401640,5510,8,0,0,0,0,0,0,0,0,5515,23,0,0,0,0,0,0,0,0
5,2017-04-20,09:00:02,144,v1709,XDCE,5515,5500,5525,796,21931900,170182,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32402144,5515,2,0,0,0,0,0,0,0,0,5520,8,0,0,0,0,0,0,0,0
6,2017-04-20,09:00:02,623,v1709,XDCE,5510,5500,5525,974,26838350,170206,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32402623,5510,2,0,0,0,0,0,0,0,0,5520,8,0,0,0,0,0,0,0,0
7,2017-04-20,09:00:03,134,v1709,XDCE,5520,5500,5525,1048,28880000,170250,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32403134,5515,61,0,0,0,0,0,0,0,0,5520,12,0,0,0,0,0,0,0,0
8,2017-04-20,09:00:03,643,v1709,XDCE,5515,5500,5525,1088,29983650,170258,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32403643,5520,1,0,0,0,0,0,0,0,0,5525,22,0,0,0,0,0,0,0,0
9,2017-04-20,09:00:04,143,v1709,XDCE,5520,5500,5525,1134,31253650,170284,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32404143,5520,23,0,0,0,0,0,0,0,0,5525,14,0,0,0,0,0,0,0,0
10,2017-04-20,09:00:04,630,v1709,XDCE,5520,5500,5525,1188,32744150,170314,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32404630,5520,19,0,0,0,0,0,0,0,0,5525,15,0,0,0,0,0,0,0,0
11,2017-04-20,09:00:05,126,v1709,XDCE,5520,5500,5525,1234,34014350,170324,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32405126,5520,9,0,0,0,0,0,0,0,0,5525,9,0,0,0,0,0,0,0,0
12,2017-04-20,09:00:05,603,v1709,XDCE,5520,5500,5525,1270,35008000,170330,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32405603,5520,13,0,0,0,0,0,0,0,0,5525,18,0,0,0,0,0,0,0,0
13,2017-04-20,09:00:06,137,v1709,XDCE,5520,5500,5525,1314,36222850,170334,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32406137,5520,1,0,0,0,0,0,0,0,0,5525,9,0,0,0,0,0,0,0,0
14,2017-04-20,09:00:06,644,v1709,XDCE,5515,5500,5525,1354,37326350,170372,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32406644,5515,77,0,0,0,0,0,0,0,0,5525,20,0,0,0,0,0,0,0,0
15,2017-04-20,09:00:07,138,v1709,XDCE,5520,5500,5525,1386,38209800,170366,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32407138,5520,9,0,0,0,0,0,0,0,0,5525,30,0,0,0,0,0,0,0,0
16,2017-04-20,09:00:07,644,v1709,XDCE,5520,5500,5525,1406,38761800,170366,170016,5765,5225,5495,5530,0,5505,0,0,0,2017-04-20,32407644,5515,84,0,0,0,0,0,0,0,0,5520,26,0,0,0,0,0,0,0,0
