,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-20,19:29:30,0,WH705,XZCE,3153,0,0,0,0,10942,10942,3254,2944,3099,3153,0,0,0,0,0,2017-04-21,70170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017-04-21,08:59:00,0,WH705,XZCE,3146,3146,3146,22,1384240,10954,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32340000,3144,5,0,0,0,0,0,0,0,0,3146,2,0,0,0,0,0,0,0,0
2,2017-04-21,09:00:00,0,WH705,XZCE,3146,3146,3146,22,1384240,10954,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32400000,3144,5,0,0,0,0,0,0,0,0,3147,1,0,0,0,0,0,0,0,0
3,2017-04-21,09:00:00,0,WH705,XZCE,3146,3146,3146,22,1384240,10954,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32400000,3144,5,0,0,0,0,0,0,0,0,3146,1,0,0,0,0,0,0,0,0
4,2017-04-21,09:00:01,0,WH705,XZCE,3144,3144,3146,30,1887280,10962,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32401000,3144,1,0,0,0,0,0,0,0,0,3146,1,0,0,0,0,0,0,0,0
5,2017-04-21,09:00:01,0,WH705,XZCE,3146,3144,3146,34,2138960,10966,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32401000,3144,2,0,0,0,0,0,0,0,0,3147,1,0,0,0,0,0,0,0,0
6,2017-04-21,09:00:02,0,WH705,XZCE,3142,3142,3146,42,2641680,10964,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32402000,3142,15,0,0,0,0,0,0,0,0,3144,4,0,0,0,0,0,0,0,0
7,2017-04-21,09:00:02,0,WH705,XZCE,3142,3142,3146,42,2641680,10964,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32402000,3142,16,0,0,0,0,0,0,0,0,3144,4,0,0,0,0,0,0,0,0
8,2017-04-21,09:00:03,0,WH705,XZCE,3142,3142,3146,44,2767360,10964,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32403000,3142,15,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
9,2017-04-21,09:00:04,0,WH705,XZCE,3143,3142,3146,46,2893080,10966,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32404000,3143,1,0,0,0,0,0,0,0,0,3144,4,0,0,0,0,0,0,0,0
10,2017-04-21,09:00:04,0,WH705,XZCE,3144,3142,3146,54,3396120,10968,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32404000,3143,1,0,0,0,0,0,0,0,0,3145,1,0,0,0,0,0,0,0,0
11,2017-04-21,09:00:05,0,WH705,XZCE,3145,3142,3146,62,3899320,10976,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32405000,3144,1,0,0,0,0,0,0,0,0,3146,10,0,0,0,0,0,0,0,0
12,2017-04-21,09:00:05,0,WH705,XZCE,3145,3142,3146,64,4025120,10978,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32405000,3144,1,0,0,0,0,0,0,0,0,3146,10,0,0,0,0,0,0,0,0
13,2017-04-21,09:00:05,0,WH705,XZCE,3142,3142,3146,84,5281920,10982,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32405000,3142,7,0,0,0,0,0,0,0,0,3146,10,0,0,0,0,0,0,0,0
14,2017-04-21,09:00:07,0,WH705,XZCE,3142,3142,3146,88,5533280,10982,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32407000,3142,5,0,0,0,0,0,0,0,0,3146,10,0,0,0,0,0,0,0,0
15,2017-04-21,09:00:07,0,WH705,XZCE,3142,3142,3146,88,5533280,10982,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32407000,3142,4,0,0,0,0,0,0,0,0,3146,10,0,0,0,0,0,0,0,0
16,2017-04-21,09:00:08,0,WH705,XZCE,3146,3142,3146,96,6036640,10982,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32408000,3142,4,0,0,0,0,0,0,0,0,3145,2,0,0,0,0,0,0,0,0
17,2017-04-21,09:00:08,0,WH705,XZCE,3146,3142,3146,98,6162480,10980,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32408000,3142,4,0,0,0,0,0,0,0,0,3145,1,0,0,0,0,0,0,0,0
18,2017-04-21,09:00:09,0,WH705,XZCE,3142,3142,3146,100,6288160,10980,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32409000,3142,3,0,0,0,0,0,0,0,0,3145,1,0,0,0,0,0,0,0,0
19,2017-04-21,09:00:11,0,WH705,XZCE,3142,3142,3146,100,6288160,10980,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32411000,3142,3,0,0,0,0,0,0,0,0,3145,2,0,0,0,0,0,0,0,0
20,2017-04-21,09:00:12,0,WH705,XZCE,3146,3142,3146,114,7169040,10992,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32412000,3142,3,0,0,0,0,0,0,0,0,3146,25,0,0,0,0,0,0,0,0
21,2017-04-21,09:00:13,0,WH705,XZCE,3145,3142,3146,116,7294840,10992,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32413000,3142,3,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
22,2017-04-21,09:00:13,0,WH705,XZCE,3142,3142,3146,126,7923240,10988,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32413000,3142,15,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
23,2017-04-21,09:00:14,0,WH705,XZCE,3142,3142,3146,128,8048920,10990,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32414000,3142,14,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
24,2017-04-21,09:00:14,0,WH705,XZCE,3142,3142,3146,128,8048920,10990,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32414000,3142,14,0,0,0,0,0,0,0,0,3145,4,0,0,0,0,0,0,0,0
25,2017-04-21,09:00:15,0,WH705,XZCE,3142,3142,3146,128,8048920,10990,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32415000,3143,1,0,0,0,0,0,0,0,0,3145,4,0,0,0,0,0,0,0,0
26,2017-04-21,09:00:15,0,WH705,XZCE,3142,3142,3146,130,8174600,10990,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32415000,3142,14,0,0,0,0,0,0,0,0,3145,4,0,0,0,0,0,0,0,0
27,2017-04-21,09:00:15,0,WH705,XZCE,3142,3142,3146,130,8174600,10990,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32415000,3142,14,0,0,0,0,0,0,0,0,3144,1,0,0,0,0,0,0,0,0
28,2017-04-21,09:00:16,0,WH705,XZCE,3142,3142,3146,132,8300280,10992,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32416000,3142,13,0,0,0,0,0,0,0,0,3144,1,0,0,0,0,0,0,0,0
29,2017-04-21,09:00:17,0,WH705,XZCE,3144,3142,3146,134,8426040,10990,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32417000,3142,13,0,0,0,0,0,0,0,0,3145,4,0,0,0,0,0,0,0,0
30,2017-04-21,09:00:17,0,WH705,XZCE,3142,3142,3146,154,9682840,11010,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32417000,3142,4,0,0,0,0,0,0,0,0,3144,1,0,0,0,0,0,0,0,0
31,2017-04-21,09:00:18,0,WH705,XZCE,3142,3142,3146,154,9682840,11010,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32418000,3142,4,0,0,0,0,0,0,0,0,3144,3,0,0,0,0,0,0,0,0
32,2017-04-21,09:00:19,0,WH705,XZCE,3144,3142,3146,164,10311640,11010,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32419000,3142,4,0,0,0,0,0,0,0,0,3144,19,0,0,0,0,0,0,0,0
33,2017-04-21,09:00:20,0,WH705,XZCE,3142,3142,3146,168,10563000,11010,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32420000,3142,2,0,0,0,0,0,0,0,0,3144,19,0,0,0,0,0,0,0,0
34,2017-04-21,09:00:20,0,WH705,XZCE,3142,3142,3146,170,10688680,11012,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32420000,3142,1,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
35,2017-04-21,09:00:20,0,WH705,XZCE,3142,3142,3146,172,10814360,11014,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32420000,3141,5,0,0,0,0,0,0,0,0,3142,3,0,0,0,0,0,0,0,0
36,2017-04-21,09:00:21,0,WH705,XZCE,3141,3141,3146,174,10940000,11016,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32421000,3141,4,0,0,0,0,0,0,0,0,3142,3,0,0,0,0,0,0,0,0
37,2017-04-21,09:00:21,0,WH705,XZCE,3142,3141,3146,178,11191360,11020,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32421000,3141,4,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
38,2017-04-21,09:00:22,0,WH705,XZCE,3141,3141,3146,182,11442640,11024,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32422000,3141,2,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
39,2017-04-21,09:00:23,0,WH705,XZCE,3141,3141,3146,184,11568280,11026,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32423000,3141,1,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
40,2017-04-21,09:00:24,0,WH705,XZCE,3141,3141,3146,186,11693920,11028,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32424000,3140,1,0,0,0,0,0,0,0,0,3141,1,0,0,0,0,0,0,0,0
41,2017-04-21,09:00:24,0,WH705,XZCE,3142,3141,3146,190,11945280,11028,10942,3254,2944,3099,3153,0,3146,0,0,0,2017-04-21,32424000,3140,1,0,0,0,0,0,0,0,0,3143,1,0,0,0,0,0,0,0,0
