,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-24,08:59:00,0,SM705,XZCE,6064,6064,6064,38,1152160,14128,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32340000,6050,2,0,0,0,0,0,0,0,0,6064,33,0,0,0,0,0,0,0,0
1,2017-04-24,09:00:00,0,SM705,XZCE,6064,6064,6064,38,1152160,14128,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32400000,6056,1,0,0,0,0,0,0,0,0,6064,33,0,0,0,0,0,0,0,0
2,2017-04-24,09:00:01,0,SM705,XZCE,6064,6064,6064,38,1152160,14128,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32401000,6050,2,0,0,0,0,0,0,0,0,6062,3,0,0,0,0,0,0,0,0
3,2017-04-24,09:00:02,0,SM705,XZCE,6064,6064,6064,38,1152160,14128,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32402000,6050,2,0,0,0,0,0,0,0,0,6060,6,0,0,0,0,0,0,0,0
4,2017-04-24,09:00:03,0,SM705,XZCE,6064,6064,6064,38,1152160,14128,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32403000,6050,3,0,0,0,0,0,0,0,0,6060,6,0,0,0,0,0,0,0,0
5,2017-04-24,09:00:03,0,SM705,XZCE,6064,6064,6064,38,1152160,14128,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32403000,6050,2,0,0,0,0,0,0,0,0,6060,6,0,0,0,0,0,0,0,0
6,2017-04-24,09:00:04,0,SM705,XZCE,6050,6050,6064,40,1212660,14130,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32404000,6050,1,0,0,0,0,0,0,0,0,6060,6,0,0,0,0,0,0,0,0
7,2017-04-24,09:00:04,0,SM705,XZCE,6058,6050,6064,42,1273240,14132,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32404000,6050,1,0,0,0,0,0,0,0,0,6058,2,0,0,0,0,0,0,0,0
8,2017-04-24,09:00:06,0,SM705,XZCE,6048,6048,6064,48,1454680,14134,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32406000,6046,2,0,0,0,0,0,0,0,0,6062,5,0,0,0,0,0,0,0,0
9,2017-04-24,09:00:07,0,SM705,XZCE,6048,6048,6064,48,1454680,14134,14156,6448,5716,6082,6070,0,6064,0,0,0,2017-04-24,32407000,6048,1,0,0,0,0,0,0,0,0,6062,5,0,0,0,0,0,0,0,0
