,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-22,02:30:00,500,au1706,XSGE,287.4,285.85,287.95,150734,43257983800,218358,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,9000500,287.4,2,0,0,0,0,0,0,0,0,287.45,1,0,0,0,0,0,0,0,0
1,2017-04-24,09:00:00,500,au1706,XSGE,285.05,285.05,287.95,153826,44141913200,219094,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32400500,285.05,170,0,0,0,0,0,0,0,0,285.2,123,0,0,0,0,0,0,0,0
2,2017-04-24,09:00:01,0,au1706,XSGE,285.15,285.05,287.95,154310,44279896100,219132,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32401000,285.05,41,0,0,0,0,0,0,0,0,285.15,5,0,0,0,0,0,0,0,0
3,2017-04-24,09:00:01,500,au1706,XSGE,285.15,285.0,287.95,154734,44400780200,219226,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32401500,285.15,5,0,0,0,0,0,0,0,0,285.2,127,0,0,0,0,0,0,0,0
4,2017-04-24,09:00:02,0,au1706,XSGE,285.05,285.0,287.95,155524,44626023900,219026,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32402000,285.0,107,0,0,0,0,0,0,0,0,285.05,82,0,0,0,0,0,0,0,0
5,2017-04-24,09:00:02,500,au1706,XSGE,285.05,284.85,287.95,156174,44811267700,218836,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32402500,285.05,110,0,0,0,0,0,0,0,0,285.1,13,0,0,0,0,0,0,0,0
6,2017-04-24,09:00:03,0,au1706,XSGE,285.1,284.85,287.95,156598,44932141400,218706,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32403000,285.1,11,0,0,0,0,0,0,0,0,285.15,16,0,0,0,0,0,0,0,0
7,2017-04-24,09:00:03,500,au1706,XSGE,285.15,284.85,287.95,156912,45021676900,218710,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32403500,285.15,61,0,0,0,0,0,0,0,0,285.25,1,0,0,0,0,0,0,0,0
8,2017-04-24,09:00:04,0,au1706,XSGE,285.25,284.85,287.95,157208,45106103300,218610,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32404000,285.25,196,0,0,0,0,0,0,0,0,285.3,99,0,0,0,0,0,0,0,0
9,2017-04-24,09:00:04,500,au1706,XSGE,285.25,284.85,287.95,157396,45159731400,218564,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32404500,285.25,125,0,0,0,0,0,0,0,0,285.3,94,0,0,0,0,0,0,0,0
10,2017-04-24,09:00:05,0,au1706,XSGE,285.3,284.85,287.95,157570,45209366300,218488,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32405000,285.25,53,0,0,0,0,0,0,0,0,285.3,77,0,0,0,0,0,0,0,0
11,2017-04-24,09:00:05,500,au1706,XSGE,285.15,284.85,287.95,157782,45269831000,218422,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32405500,285.15,32,0,0,0,0,0,0,0,0,285.2,15,0,0,0,0,0,0,0,0
12,2017-04-24,09:00:06,0,au1706,XSGE,285.2,284.85,287.95,158054,45347399700,218408,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32406000,285.2,115,0,0,0,0,0,0,0,0,285.25,28,0,0,0,0,0,0,0,0
13,2017-04-24,09:00:06,500,au1706,XSGE,285.25,284.85,287.95,158090,45357667400,218384,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32406500,285.2,107,0,0,0,0,0,0,0,0,285.25,17,0,0,0,0,0,0,0,0
14,2017-04-24,09:00:07,0,au1706,XSGE,285.15,284.85,287.95,158362,45435240500,218146,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32407000,285.099,2,0,0,0,0,0,0,0,0,285.15,90,0,0,0,0,0,0,0,0
15,2017-04-24,09:00:07,500,au1706,XSGE,285.15,284.85,287.95,158516,45479146500,218076,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32407500,285.1,1,0,0,0,0,0,0,0,0,285.15,60,0,0,0,0,0,0,0,0
16,2017-04-24,09:00:08,0,au1706,XSGE,285.05,284.85,287.95,158552,45489409900,218068,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32408000,285.05,2,0,0,0,0,0,0,0,0,285.1,19,0,0,0,0,0,0,0,0
17,2017-04-24,09:00:08,500,au1706,XSGE,285.05,284.85,287.95,158594,45501381300,218046,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32408500,285.0,5,0,0,0,0,0,0,0,0,285.05,42,0,0,0,0,0,0,0,0
18,2017-04-24,09:00:09,0,au1706,XSGE,285.0,284.85,287.95,158800,45560104500,217972,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32409000,285.05,1,0,0,0,0,0,0,0,0,285.1,4,0,0,0,0,0,0,0,0
19,2017-04-24,09:00:09,500,au1706,XSGE,284.9,284.85,287.95,159080,45639924000,217846,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32409500,284.85,5,0,0,0,0,0,0,0,0,284.9,21,0,0,0,0,0,0,0,0
20,2017-04-24,09:00:10,0,au1706,XSGE,284.85,284.85,287.95,159256,45690063000,217800,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32410000,284.85,47,0,0,0,0,0,0,0,0,284.95,6,0,0,0,0,0,0,0,0
21,2017-04-24,09:00:10,500,au1706,XSGE,284.95,284.85,287.95,159384,45726533300,217778,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32410500,284.9,29,0,0,0,0,0,0,0,0,284.95,4,0,0,0,0,0,0,0,0
22,2017-04-24,09:00:11,0,au1706,XSGE,284.95,284.85,287.95,159490,45756738200,217744,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32411000,284.95,15,0,0,0,0,0,0,0,0,285.0,18,0,0,0,0,0,0,0,0
23,2017-04-24,09:00:11,500,au1706,XSGE,285.0,284.85,287.95,159612,45791512200,217700,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32411500,285.0,44,0,0,0,0,0,0,0,0,285.05,7,0,0,0,0,0,0,0,0
24,2017-04-24,09:00:12,0,au1706,XSGE,285.05,284.85,287.95,159644,45800634000,217698,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32412000,285.05,60,0,0,0,0,0,0,0,0,285.1,12,0,0,0,0,0,0,0,0
25,2017-04-24,09:00:12,500,au1706,XSGE,285.1,284.85,287.95,159756,45832560700,217674,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32412500,285.1,16,0,0,0,0,0,0,0,0,285.15,24,0,0,0,0,0,0,0,0
26,2017-04-24,09:00:13,0,au1706,XSGE,285.1,284.85,287.95,159848,45858790800,217612,209336,300.05,271.5,285.8,285.9,0.0,286.35,0.0,0,0,2017-04-24,32413000,285.05,13,0,0,0,0,0,0,0,0,285.15,59,0,0,0,0,0,0,0,0
