,dataDate,dataTime,dataMillisec,instrumentID,exchangeCD,lastPrice,lowPrice,highPrice,volume,value,openInterest,preOpenInterest,upperLimitPrice,lowerLimitPrice,preSettlementPrice,prevClosePrice,settlementPrice,openPrice,closePrice,preDelta,currDelta,clearingDay,milliSecOffset,bidPrice1,bidVolume1,bidPrice2,bidVolume2,bidPrice3,bidVolume3,bidPrice4,bidVolume4,bidPrice5,bidVolume5,askPrice1,askVolume1,askPrice2,askVolume2,askPrice3,askVolume3,askPrice4,askVolume4,askPrice5,askVolume5
0,2017-04-22,01:00:00,500,pb1705,XSGE,15875,15740,16010,5378,427150700,22416,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,3600500,15850,9,0,0,0,0,0,0,0,0,15910,1,0,0,0,0,0,0,0,0
1,2017-04-24,09:00:00,500,pb1705,XSGE,15920,15740,16010,5382,427469000,22420,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32400500,15900,1,0,0,0,0,0,0,0,0,15925,1,0,0,0,0,0,0,0,0
2,2017-04-24,09:00:01,0,pb1705,XSGE,15925,15740,16010,5384,427628250,22422,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32401000,15920,3,0,0,0,0,0,0,0,0,15930,1,0,0,0,0,0,0,0,0
3,2017-04-24,09:00:01,500,pb1705,XSGE,15885,15740,16010,5400,428900950,22438,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32401500,15885,1,0,0,0,0,0,0,0,0,15890,2,0,0,0,0,0,0,0,0
4,2017-04-24,09:00:02,0,pb1705,XSGE,15920,15740,16010,5414,430014000,22434,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32402000,15890,3,0,0,0,0,0,0,0,0,15920,2,0,0,0,0,0,0,0,0
5,2017-04-24,09:00:02,500,pb1705,XSGE,15970,15740,16010,5424,430811100,22438,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32402500,15925,5,0,0,0,0,0,0,0,0,15970,6,0,0,0,0,0,0,0,0
6,2017-04-24,09:00:03,0,pb1705,XSGE,15970,15740,16010,5436,431769300,22446,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32403000,15970,2,0,0,0,0,0,0,0,0,15980,2,0,0,0,0,0,0,0,0
7,2017-04-24,09:00:03,500,pb1705,XSGE,15970,15740,16010,5440,432088700,22446,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32403500,15945,6,0,0,0,0,0,0,0,0,15980,2,0,0,0,0,0,0,0,0
8,2017-04-24,09:00:04,0,pb1705,XSGE,15980,15740,16010,5444,432408300,22448,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32404000,15945,11,0,0,0,0,0,0,0,0,15990,10,0,0,0,0,0,0,0,0
9,2017-04-24,09:00:04,500,pb1705,XSGE,15975,15740,16010,5446,432568050,22446,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32404500,15975,1,0,0,0,0,0,0,0,0,15990,10,0,0,0,0,0,0,0,0
10,2017-04-24,09:00:05,0,pb1705,XSGE,15980,15740,16010,5456,433367450,22442,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32405000,15980,2,0,0,0,0,0,0,0,0,15990,6,0,0,0,0,0,0,0,0
11,2017-04-24,09:00:05,500,pb1705,XSGE,15990,15740,16010,5466,434166750,22442,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32405500,15985,3,0,0,0,0,0,0,0,0,15990,3,0,0,0,0,0,0,0,0
12,2017-04-24,09:00:06,0,pb1705,XSGE,15990,15740,16010,5476,434966150,22452,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32406000,15990,1,0,0,0,0,0,0,0,0,16000,3,0,0,0,0,0,0,0,0
13,2017-04-24,09:00:06,500,pb1705,XSGE,15990,15740,16010,5478,435126050,22454,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32406500,15975,6,0,0,0,0,0,0,0,0,16000,3,0,0,0,0,0,0,0,0
14,2017-04-24,09:00:07,0,pb1705,XSGE,15990,15740,16010,5478,435126050,22454,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32407000,15985,7,0,0,0,0,0,0,0,0,16000,3,0,0,0,0,0,0,0,0
15,2017-04-24,09:00:07,500,pb1705,XSGE,16000,15740,16010,5484,435606050,22454,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32407500,15985,13,0,0,0,0,0,0,0,0,16040,27,0,0,0,0,0,0,0,0
16,2017-04-24,09:00:08,0,pb1705,XSGE,16000,15740,16010,5484,435606050,22454,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32408000,15985,16,0,0,0,0,0,0,0,0,16030,3,0,0,0,0,0,0,0,0
17,2017-04-24,09:00:08,500,pb1705,XSGE,15990,15740,16025,5490,436086100,22448,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32408500,15985,16,0,0,0,0,0,0,0,0,16020,3,0,0,0,0,0,0,0,0
18,2017-04-24,09:00:09,0,pb1705,XSGE,15990,15740,16025,5490,436086100,22448,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32409000,15990,3,0,0,0,0,0,0,0,0,16010,2,0,0,0,0,0,0,0,0
19,2017-04-24,09:00:09,500,pb1705,XSGE,15990,15740,16025,5490,436086100,22448,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32409500,15995,9,0,0,0,0,0,0,0,0,16010,4,0,0,0,0,0,0,0,0
20,2017-04-24,09:00:10,0,pb1705,XSGE,15990,15740,16025,5490,436086100,22448,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32410000,16000,3,0,0,0,0,0,0,0,0,16010,4,0,0,0,0,0,0,0,0
21,2017-04-24,09:00:10,500,pb1705,XSGE,16000,15740,16025,5492,436246100,22450,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32410500,16000,2,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
22,2017-04-24,09:00:11,0,pb1705,XSGE,16000,15740,16025,5498,436726100,22454,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32411000,16000,2,0,0,0,0,0,0,0,0,16005,3,0,0,0,0,0,0,0,0
23,2017-04-24,09:00:11,500,pb1705,XSGE,16005,15740,16025,5504,437206250,22452,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32411500,16005,5,0,0,0,0,0,0,0,0,16010,2,0,0,0,0,0,0,0,0
24,2017-04-24,09:00:12,0,pb1705,XSGE,16005,15740,16025,5516,438166600,22448,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32412000,16000,2,0,0,0,0,0,0,0,0,16005,3,0,0,0,0,0,0,0,0
25,2017-04-24,09:00:12,500,pb1705,XSGE,16005,15740,16025,5518,438326650,22446,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32412500,16000,9,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
26,2017-04-24,09:00:13,0,pb1705,XSGE,16005,15740,16025,5518,438326650,22446,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32413000,16000,2,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
27,2017-04-24,09:00:13,500,pb1705,XSGE,16005,15740,16025,5522,438646750,22444,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32413500,16000,9,0,0,0,0,0,0,0,0,16010,1,0,0,0,0,0,0,0,0
28,2017-04-24,09:00:14,0,pb1705,XSGE,16005,15740,16025,5522,438646750,22444,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32414000,16000,2,0,0,0,0,0,0,0,0,16010,2,0,0,0,0,0,0,0,0
29,2017-04-24,09:00:14,500,pb1705,XSGE,16005,15740,16025,5522,438646750,22444,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32414500,16000,2,0,0,0,0,0,0,0,0,16010,2,0,0,0,0,0,0,0,0
30,2017-04-24,09:00:15,0,pb1705,XSGE,16000,15740,16025,5526,438966750,22444,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32415000,15990,3,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
31,2017-04-24,09:00:15,500,pb1705,XSGE,15990,15740,16025,5528,439126650,22442,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32415500,15990,2,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
32,2017-04-24,09:00:16,0,pb1705,XSGE,15990,15740,16025,5528,439126650,22442,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32416000,15990,3,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
33,2017-04-24,09:00:16,500,pb1705,XSGE,15990,15740,16025,5528,439126650,22442,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32416500,16005,1,0,0,0,0,0,0,0,0,16010,2,0,0,0,0,0,0,0,0
34,2017-04-24,09:00:17,0,pb1705,XSGE,16005,15740,16025,5530,439286700,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32417000,15990,5,0,0,0,0,0,0,0,0,16005,3,0,0,0,0,0,0,0,0
35,2017-04-24,09:00:17,500,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32417500,15990,5,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
36,2017-04-24,09:00:18,0,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32418000,15990,12,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
37,2017-04-24,09:00:18,500,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32418500,15990,3,0,0,0,0,0,0,0,0,16005,2,0,0,0,0,0,0,0,0
38,2017-04-24,09:00:20,500,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32420500,15990,1,0,0,0,0,0,0,0,0,16000,2,0,0,0,0,0,0,0,0
39,2017-04-24,09:00:21,0,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32421000,15960,22,0,0,0,0,0,0,0,0,16000,4,0,0,0,0,0,0,0,0
40,2017-04-24,09:00:21,500,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32421500,15980,2,0,0,0,0,0,0,0,0,16000,4,0,0,0,0,0,0,0,0
41,2017-04-24,09:00:22,0,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32422000,15980,10,0,0,0,0,0,0,0,0,16000,4,0,0,0,0,0,0,0,0
42,2017-04-24,09:00:22,500,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32422500,15980,3,0,0,0,0,0,0,0,0,15995,2,0,0,0,0,0,0,0,0
43,2017-04-24,09:00:23,0,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32423000,15980,3,0,0,0,0,0,0,0,0,15995,5,0,0,0,0,0,0,0,0
44,2017-04-24,09:00:23,500,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32423500,15980,1,0,0,0,0,0,0,0,0,15990,2,0,0,0,0,0,0,0,0
45,2017-04-24,09:00:24,0,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32424000,15980,1,0,0,0,0,0,0,0,0,15990,4,0,0,0,0,0,0,0,0
46,2017-04-24,09:00:24,500,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32424500,15950,10,0,0,0,0,0,0,0,0,15990,6,0,0,0,0,0,0,0,0
47,2017-04-24,09:00:25,0,pb1705,XSGE,16005,15740,16025,5532,439446750,22440,22682,17230,14975,16105,16045,0,15975,0,0,0,2017-04-24,32425000,15955,16,0,0,0,0,0,0,0,0,15980,2,0,0,0,0,0,0,0,0
