,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
0,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-18,HC,,2427,,,,,2446,2446,0,0,0,19,19,0.00782859,0,0
1,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-19,HC,,2446,2446.0,2446.0,2666.0,2446.0,2665,2567,28,718840,6,219,121,0.08953393,0,0
2,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-20,HC,,2567,2665.0,2666.0,2666.0,2666.0,2666,2666,2,53320,4,99,99,0.03856642,0,0
3,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-21,HC,,2666,2666.0,,,,2758,2758,0,0,4,92,92,0.03450863,0,0
4,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-22,HC,,2758,2758.0,,,,2758,2758,0,0,4,0,0,0.0,0,0
5,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-25,HC,,2758,2758.0,,,,2758,2758,0,0,4,0,0,0.0,0,0
6,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-26,HC,,2758,2758.0,,,,2646,2646,0,0,4,-112,-112,-0.04060914,0,0
7,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-27,HC,,2646,2646.0,,,,2646,2646,0,0,4,0,0,0.0,0,0
8,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-28,HC,,2646,2646.0,,,,2646,2646,0,0,4,0,0,0.0,0,0
9,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-04-29,HC,,2646,2646.0,,,,2646,2646,0,0,4,0,0,0.0,0,0
10,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-03,HC,,2646,2646.0,,,,2522,2522,0,0,4,-124,-124,-0.04686319,0,0
11,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-04,HC,,2522,2522.0,,,,2522,2522,0,0,4,0,0,0.0,0,0
12,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-05,HC,,2522,2522.0,,,,2478,2478,0,0,4,-44,-44,-0.01744647,0,0
13,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-06,HC,,2478,2478.0,,,,2478,2478,0,0,4,0,0,0.0,0,0
14,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-09,HC,,2478,2478.0,2329.0,2361.0,2329.0,2361,2345,4,93800,6,-117,-133,-0.0472155,0,0
15,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-10,HC,,2345,2361.0,,,,2345,2345,0,0,6,0,0,0.0,0,0
16,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-11,HC,,2345,2345.0,,,,2345,2345,0,0,6,0,0,0.0,0,0
17,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-12,HC,,2345,2345.0,2290.0,2290.0,2290.0,2290,2290,2,45800,8,-55,-55,-0.02345416,0,0
18,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-13,HC,,2290,2290.0,,,,2275,2275,0,0,8,-15,-15,-0.00655022,0,0
19,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-16,HC,,2275,2275.0,,,,2275,2275,0,0,8,0,0,0.0,0,0
20,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-17,HC,,2275,2275.0,,,,2275,2275,0,0,8,0,0,0.0,0,0
21,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-18,HC,,2275,2275.0,,,,2275,2275,0,0,8,0,0,0.0,0,0
22,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-19,HC,,2275,2275.0,,,,2235,2235,0,0,8,-40,-40,-0.01758242,0,0
23,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-20,HC,,2235,2235.0,,,,2238,2238,0,0,8,3,3,0.00134228,0,0
24,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-23,HC,,2238,2238.0,,,,2144,2144,0,0,8,-94,-94,-0.04200179,0,0
25,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-24,HC,,2144,2144.0,,,,2131,2131,0,0,8,-13,-13,-0.00606343,0,0
26,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-25,HC,,2131,2131.0,,,,2133,2133,0,0,8,2,2,0.00093853,0,0
27,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-26,HC,,2133,2133.0,,,,2134,2134,0,0,8,1,1,0.00046882,0,0
28,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-27,HC,,2134,2134.0,2262.0,2262.0,2262.0,2262,2262,4,90480,8,128,128,0.05998126,0,0
29,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-30,HC,,2262,2262.0,2228.0,2229.0,2228.0,2229,2228,4,89140,8,-33,-34,-0.01458886,0,0
30,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-05-31,HC,,2228,2229.0,,,,2228,2228,0,0,8,0,0,0.0,0,0
31,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-06-01,HC,,2228,2228.0,,,,2228,2228,0,0,8,0,0,0.0,0,0
32,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-06-02,HC,,2228,2228.0,,,,2228,2228,0,0,8,0,0,0.0,0,0
33,HC1704.XSGE,hc1704,XSGE,»¦ÈÈÔþ¾í°å1704,2016-06-03,HC,,2228,2228.0,,,,2235,2235,0,0,8,7,7,0.00314183,0,0
