,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
0,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-18,PB,,13200,,,,,13265,13265,0,0,0,65,65,0.00492424,0,0
1,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-19,PB,,13265,13265.0,,,,13260,13260,0,0,0,-5,-5,-0.00037693,0,0
2,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-20,PB,,13260,13260.0,13375.0,13375.0,12975.0,13305,13240,14,926900,2,45,-20,0.00339367,0,0
3,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-21,PB,,13240,13305.0,,,,13295,13295,0,0,2,55,55,0.00415408,0,0
4,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-22,PB,,13295,13295.0,,,,13275,13275,0,0,2,-20,-20,-0.00150432,0,0
5,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-25,PB,,13275,13275.0,,,,13340,13340,0,0,2,65,65,0.00489642,0,0
6,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-26,PB,,13340,13340.0,13100.0,13100.0,13100.0,13100,13100,2,131000,4,-240,-240,-0.017991,0,0
7,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-27,PB,,13100,13100.0,13150.0,13150.0,13150.0,13150,13150,2,131500,4,50,50,0.00381679,0,0
8,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-28,PB,,13150,13150.0,,,,13095,13095,0,0,4,-55,-55,-0.00418251,0,0
9,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-04-29,PB,,13095,13095.0,,,,13140,13140,0,0,4,45,45,0.00343643,0,0
10,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-03,PB,,13140,13140.0,,,,13290,13290,0,0,4,150,150,0.01141553,0,0
11,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-04,PB,,13290,13290.0,13260.0,13260.0,13260.0,13260,13260,2,132600,6,-30,-30,-0.00225734,0,0
12,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-05,PB,,13260,13260.0,13170.0,13245.0,13170.0,13245,13205,4,264150,6,-15,-55,-0.00113122,0,0
13,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-06,PB,,13205,13245.0,,,,13050,13050,0,0,6,-155,-155,-0.01173798,0,0
14,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-09,PB,,13050,13050.0,,,,13005,13005,0,0,6,-45,-45,-0.00344828,0,0
15,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-10,PB,,13005,13005.0,12965.0,12965.0,12965.0,12965,12965,2,129650,8,-40,-40,-0.00307574,0,0
16,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-11,PB,,12965,12965.0,13475.0,13475.0,13475.0,13475,13475,2,134750,8,510,510,0.03933668,0,0
17,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-12,PB,,13475,13475.0,13265.0,13520.0,13255.0,13295,13350,158,10549650,90,-180,-125,-0.01335807,0,0
18,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-13,PB,,13350,13295.0,13170.0,13170.0,12815.0,13030,12850,110,7069550,40,-320,-500,-0.02397004,0,0
19,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-16,PB,,12850,13030.0,13020.0,13025.0,13020.0,13020,13020,10,651050,42,170,170,0.01322957,0,0
20,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-17,PB,,13020,13020.0,,,,13020,13020,0,0,42,0,0,0.0,0,0
21,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-18,PB,,13020,13020.0,,,,13020,13020,0,0,42,0,0,0.0,0,0
22,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-19,PB,,13020,13020.0,,,,13020,13020,0,0,42,0,0,0.0,0,0
23,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-20,PB,,13020,13020.0,,,,13035,13035,0,0,42,15,15,0.00115207,0,0
24,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-23,PB,,13035,13035.0,12935.0,12935.0,12840.0,12840,12880,6,386450,44,-195,-155,-0.01495972,0,0
25,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-24,PB,,12880,12840.0,12725.0,13035.0,12725.0,12900,12905,74,4776200,74,20,25,0.0015528,0,0
26,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-25,PB,,12905,12900.0,12945.0,12995.0,12920.0,12935,12965,38,2463900,94,30,60,0.00232468,0,0
27,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-26,PB,,12965,12935.0,12865.0,12935.0,12865.0,12935,12895,10,644800,92,-30,-70,-0.00231392,0,0
28,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-27,PB,,12895,12935.0,12980.0,13075.0,12980.0,13075,12995,10,649950,94,180,100,0.0139589,0,0
29,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-30,PB,,12995,13075.0,,,,12995,12995,0,0,94,0,0,0.0,0,0
30,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-05-31,PB,,12995,12995.0,,,,13015,13015,0,0,94,20,20,0.00153905,0,0
31,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-06-01,PB,,13015,13015.0,,,,13035,13035,0,0,94,20,20,0.00153669,0,0
32,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-06-02,PB,,13035,13035.0,,,,13100,13100,0,0,94,65,65,0.00498657,0,0
33,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-06-03,PB,,13100,13100.0,,,,13100,13100,0,0,94,0,0,0.0,0,0
34,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-06-06,PB,,13100,13100.0,,,,13000,13000,0,0,94,-100,-100,-0.00763359,0,0
35,PB1704.XSGE,pb1704,XSGE,»¦Ç¦1704,2016-06-07,PB,,13000,13000.0,,,,12995,12995,0,0,94,-5,-5,-0.00038462,0,0
